enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-2395516,R-HSA-1362409,R-HSA-1430728,Electron transport from NADPH to Ferredoxin,Mitochondrial iron-sulfur cluster biogenesis,Metabolism
R-HSA-139853,R-HSA-418346,R-HSA-109582,Elevation of cytosolic Ca2+ levels,Platelet homeostasis,Hemostasis
R-HSA-211976,R-HSA-211859,R-HSA-1430728,Endogenous sterols,Biological oxidations,Metabolism
R-HSA-917729,R-HSA-199991,R-HSA-5653656,Endosomal Sorting Complex Required For Transport (ESCRT),Membrane Trafficking,Vesicle-mediated transport
R-HSA-1236977,R-HSA-1280218,R-HSA-168256,Endosomal/Vacuolar pathway,Adaptive Immune System,Immune System
R-HSA-380972,R-HSA-165159,R-HSA-162582,Energy dependent regulation of mTOR by LKB1-AMPK,MTOR signalling,Signal Transduction
R-HSA-168275,R-HSA-5663205,R-HSA-1643685,Entry of Influenza Virion into Host Cell via Endocytosis,Infectious disease,Disease
R-HSA-379398,R-HSA-112315,R-HSA-112316,Enzymatic degradation of Dopamine by monoamine oxidase,Transmission across Chemical Synapses,Neuronal System
R-HSA-379397,R-HSA-112315,R-HSA-112316,Enzymatic degradation of dopamine by COMT,Transmission across Chemical Synapses,Neuronal System
R-HSA-3928664,R-HSA-9675108,R-HSA-1266738,Ephrin signaling,Nervous system development,Developmental Biology
R-HSA-212165,R-HSA-212165,R-HSA-74160,Epigenetic regulation of gene expression,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-1237044,R-HSA-1480926,R-HSA-382551,Erythrocytes take up carbon dioxide and release oxygen,O2/CO2 exchange in erythrocytes,Transport of small molecules
R-HSA-1247673,R-HSA-1480926,R-HSA-382551,Erythrocytes take up oxygen and release carbon dioxide,O2/CO2 exchange in erythrocytes,Transport of small molecules
R-HSA-9027276,R-HSA-9006335,R-HSA-162582,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),Signaling by Erythropoietin,Signal Transduction
R-HSA-9027277,R-HSA-9006335,R-HSA-162582,Erythropoietin activates Phospholipase C gamma (PLCG),Signaling by Erythropoietin,Signal Transduction
R-HSA-9027284,R-HSA-9006335,R-HSA-162582,Erythropoietin activates RAS,Signaling by Erythropoietin,Signal Transduction
R-HSA-9027283,R-HSA-9006335,R-HSA-162582,Erythropoietin activates STAT5,Signaling by Erythropoietin,Signal Transduction
R-HSA-9637679,R-HSA-5663205,R-HSA-1643685,Escape of Mtb from the phagocyte,Infectious disease,Disease
R-HSA-5657562,R-HSA-5668914,R-HSA-1643685,Essential fructosuria,Diseases of metabolism,Disease
R-HSA-5662853,R-HSA-5668914,R-HSA-1643685,Essential pentosuria,Diseases of metabolism,Disease
R-HSA-2468052,R-HSA-69278,R-HSA-1640170,Establishment of Sister Chromatid Cohesion,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-193144,R-HSA-556833,R-HSA-1430728,Estrogen biosynthesis,Metabolism of lipids,Metabolism
R-HSA-9018519,R-HSA-9006931,R-HSA-162582,Estrogen-dependent gene expression,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9634638,R-HSA-9006931,R-HSA-162582,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9634635,R-HSA-9006931,R-HSA-162582,Estrogen-stimulated signaling through PRKCZ,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-71384,R-HSA-211859,R-HSA-1430728,Ethanol oxidation,Biological oxidations,Metabolism
R-HSA-156842,R-HSA-72766,R-HSA-392499,Eukaryotic Translation Elongation,Translation,Metabolism of proteins
R-HSA-72613,R-HSA-72766,R-HSA-392499,Eukaryotic Translation Initiation,Translation,Metabolism of proteins
R-HSA-72764,R-HSA-72766,R-HSA-392499,Eukaryotic Translation Termination,Translation,Metabolism of proteins
R-HSA-9630791,R-HSA-9675132,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,Diseases of cellular response to stress,Disease
R-HSA-9630794,R-HSA-9675132,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,Diseases of cellular response to stress,Disease
R-HSA-9646303,R-HSA-9675132,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to p14ARF Defects,Diseases of cellular response to stress,Disease
R-HSA-9630750,R-HSA-9675132,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,Diseases of cellular response to stress,Disease
R-HSA-9632697,R-HSA-9675132,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,Diseases of cellular response to stress,Disease
R-HSA-9632700,R-HSA-9675132,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,Diseases of cellular response to stress,Disease
R-HSA-9646304,R-HSA-9675132,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects,Diseases of cellular response to stress,Disease
R-HSA-9632693,R-HSA-9675132,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,Diseases of cellular response to stress,Disease
R-HSA-8941413,R-HSA-168249,R-HSA-168256,Events associated with phagocytolytic activity of PMN cells,Innate Immune System,Immune System
R-HSA-168274,R-HSA-5663205,R-HSA-1643685,Export of Viral Ribonucleoproteins from Nucleus,Infectious disease,Disease
R-HSA-9036866,R-HSA-9006934,R-HSA-162582,Expression and Processing of Neurotrophins,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-180786,R-HSA-73886,R-HSA-1640170,Extension of Telomeres,Chromosome Maintenance,Cell Cycle
R-HSA-9009391,R-HSA-9006931,R-HSA-162582,Extra-nuclear estrogen signaling,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-1474244,R-HSA-1474244,R-HSA-1474244,Extracellular matrix organization,Extracellular matrix organization,Extracellular matrix organization
R-HSA-140834,R-HSA-140877,R-HSA-109582,Extrinsic Pathway of Fibrin Clot Formation,Formation of Fibrin Clot (Clotting Cascade),Hemostasis
R-HSA-8854050,R-HSA-69278,R-HSA-1640170,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-2644605,R-HSA-5663202,R-HSA-1643685,FBXW7 Mutants and NOTCH1 in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2871809,R-HSA-168249,R-HSA-168256,FCERI mediated Ca+2 mobilization,Innate Immune System,Immune System
R-HSA-2871796,R-HSA-168249,R-HSA-168256,FCERI mediated MAPK activation,Innate Immune System,Immune System
R-HSA-2871837,R-HSA-168249,R-HSA-168256,FCERI mediated NF-kB activation,Innate Immune System,Immune System
R-HSA-2029481,R-HSA-168249,R-HSA-168256,FCGR activation,Innate Immune System,Immune System
R-HSA-9664323,R-HSA-5663205,R-HSA-1643685,FCGR3A-mediated IL10 synthesis,Infectious disease,Disease
R-HSA-9664422,R-HSA-5663205,R-HSA-1643685,FCGR3A-mediated phagocytosis,Infectious disease,Disease
R-HSA-190242,R-HSA-9006934,R-HSA-162582,FGFR1 ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1839124,R-HSA-5663202,R-HSA-1643685,FGFR1 mutant receptor activation,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-190370,R-HSA-9006934,R-HSA-162582,FGFR1b ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190374,R-HSA-9006934,R-HSA-162582,FGFR1c and Klotho ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190373,R-HSA-9006934,R-HSA-162582,FGFR1c ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-6803529,R-HSA-9006934,R-HSA-162582,FGFR2 alternative splicing,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190241,R-HSA-9006934,R-HSA-162582,FGFR2 ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1839126,R-HSA-5663202,R-HSA-1643685,FGFR2 mutant receptor activation,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-190377,R-HSA-9006934,R-HSA-162582,FGFR2b ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190375,R-HSA-9006934,R-HSA-162582,FGFR2c ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190239,R-HSA-9006934,R-HSA-162582,FGFR3 ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-2033514,R-HSA-5663202,R-HSA-1643685,FGFR3 mutant receptor activation,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-190371,R-HSA-9006934,R-HSA-162582,FGFR3b ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190372,R-HSA-9006934,R-HSA-162582,FGFR3c ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-190322,R-HSA-9006934,R-HSA-162582,FGFR4 ligand binding and activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1839128,R-HSA-5663202,R-HSA-1643685,FGFR4 mutant receptor activation,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5658623,R-HSA-9006934,R-HSA-162582,FGFRL1 modulation of FGFR1 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9607240,R-HSA-1280215,R-HSA-168256,FLT3 Signaling,Cytokine Signaling in Immune system,Immune System
R-HSA-9702509,R-HSA-5663202,R-HSA-1643685,FLT3 mutants bind TKIs,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9706377,R-HSA-5663202,R-HSA-1643685,FLT3 signaling by CBL mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9682385,R-HSA-5663202,R-HSA-1643685,FLT3 signaling in disease,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9706374,R-HSA-1280215,R-HSA-168256,FLT3 signaling through SRC family kinases,Cytokine Signaling in Immune system,Immune System
R-HSA-217271,R-HSA-211859,R-HSA-1430728,FMO oxidises nucleophiles,Biological oxidations,Metabolism
R-HSA-9614085,R-HSA-73857,R-HSA-74160,FOXO-mediated transcription,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-9617828,R-HSA-73857,R-HSA-74160,FOXO-mediated transcription of cell cycle genes,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-9614657,R-HSA-73857,R-HSA-74160,FOXO-mediated transcription of cell death genes,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-9615017,R-HSA-73857,R-HSA-74160,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-5654693,R-HSA-9006934,R-HSA-162582,FRS-mediated FGFR1 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654700,R-HSA-9006934,R-HSA-162582,FRS-mediated FGFR2 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654706,R-HSA-9006934,R-HSA-162582,FRS-mediated FGFR3 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654712,R-HSA-9006934,R-HSA-162582,FRS-mediated FGFR4 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-983231,R-HSA-983231,R-HSA-109582,Factors involved in megakaryocyte development and platelet production,Factors involved in megakaryocyte development and platelet production,Hemostasis
R-HSA-6783310,R-HSA-6783310,R-HSA-73894,Fanconi Anemia Pathway,Fanconi Anemia Pathway,DNA Repair
R-HSA-75157,R-HSA-73887,R-HSA-162582,FasL/ CD95L signaling,Death Receptor Signalling,Signal Transduction
R-HSA-434316,R-HSA-163685,R-HSA-1430728,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Integration of energy metabolism,Metabolism
R-HSA-8978868,R-HSA-556833,R-HSA-1430728,Fatty acid metabolism,Metabolism of lipids,Metabolism
R-HSA-211935,R-HSA-211859,R-HSA-1430728,Fatty acids,Biological oxidations,Metabolism
R-HSA-75105,R-HSA-556833,R-HSA-1430728,Fatty acyl-CoA biosynthesis,Metabolism of lipids,Metabolism
R-HSA-2454202,R-HSA-168249,R-HSA-168256,Fc epsilon receptor (FCERI) signaling,Innate Immune System,Immune System
R-HSA-2029480,R-HSA-168249,R-HSA-168256,Fcgamma receptor (FCGR) dependent phagocytosis,Innate Immune System,Immune System
R-HSA-1187000,R-HSA-1187000,R-HSA-1474165,Fertilization,Fertilization,Reproduction
R-HSA-1566977,R-HSA-1566977,R-HSA-1474244,Fibronectin matrix formation,Fibronectin matrix formation,Extracellular matrix organization
R-HSA-2855086,R-HSA-168249,R-HSA-168256,Ficolins bind to repetitive carbohydrate structures on the target cell surface,Innate Immune System,Immune System
R-HSA-390450,R-HSA-391251,R-HSA-392499,Folding of actin by CCT/TriC,Protein folding,Metabolism of proteins
R-HSA-163210,R-HSA-1428517,R-HSA-1430728,Formation of ATP by chemiosmotic coupling,The citric acid (TCA) cycle and respiratory electron transport,Metabolism
R-HSA-140877,R-HSA-140877,R-HSA-109582,Formation of Fibrin Clot (Clotting Cascade),Formation of Fibrin Clot (Clotting Cascade),Hemostasis
R-HSA-167152,R-HSA-5663205,R-HSA-1643685,Formation of HIV elongation complex in the absence of HIV Tat,Infectious disease,Disease
R-HSA-167200,R-HSA-5663205,R-HSA-1643685,Formation of HIV-1 elongation complex containing HIV-1 Tat,Infectious disease,Disease
R-HSA-5696395,R-HSA-5696398,R-HSA-73894,Formation of Incision Complex in GG-NER,Nucleotide Excision Repair,DNA Repair
R-HSA-112382,R-HSA-73857,R-HSA-74160,Formation of RNA Pol II elongation complex,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-2559584,R-HSA-2262752,R-HSA-8953897,Formation of Senescence-Associated Heterochromatin Foci (SAHF),Cellular responses to stress,Cellular responses to stimuli
R-HSA-6781823,R-HSA-5696398,R-HSA-73894,Formation of TC-NER Pre-Incision Complex,Nucleotide Excision Repair,DNA Repair
R-HSA-72689,R-HSA-72766,R-HSA-392499,Formation of a pool of free 40S subunits,Translation,Metabolism of proteins
R-HSA-196025,R-HSA-199991,R-HSA-5653656,Formation of annular gap junctions,Membrane Trafficking,Vesicle-mediated transport
R-HSA-111458,R-HSA-109581,R-HSA-5357801,Formation of apoptosome,Apoptosis,Programmed Cell Death
R-HSA-77042,R-HSA-75072,R-HSA-8953854,Formation of editosomes by ADAR proteins,mRNA Editing,Metabolism of RNA
R-HSA-2408499,R-HSA-71291,R-HSA-1430728,Formation of selenosugars for excretion,Metabolism of amino acids and derivatives,Metabolism
R-HSA-113418,R-HSA-73857,R-HSA-74160,Formation of the Early Elongation Complex,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-75094,R-HSA-75072,R-HSA-8953854,Formation of the Editosome,mRNA Editing,Metabolism of RNA
R-HSA-167158,R-HSA-5663205,R-HSA-1643685,Formation of the HIV-1 Early Elongation Complex,Infectious disease,Disease
R-HSA-173599,R-HSA-211859,R-HSA-1430728,"Formation of the active cofactor, UDP-glucuronate",Biological oxidations,Metabolism
R-HSA-201722,R-HSA-195721,R-HSA-162582,Formation of the beta-catenin:TCF transactivating complex,Signaling by WNT,Signal Transduction
R-HSA-6809371,R-HSA-6805567,R-HSA-1266738,Formation of the cornified envelope,Keratinization,Developmental Biology
R-HSA-72695,R-HSA-72766,R-HSA-392499,"Formation of the ternary complex, and subsequently, the 43S complex",Translation,Metabolism of proteins
R-HSA-389960,R-HSA-391251,R-HSA-392499,Formation of tubulin folding intermediates by CCT/TriC,Protein folding,Metabolism of proteins
R-HSA-5661270,R-HSA-71387,R-HSA-1430728,Formation of xylulose-5-phosphate,Metabolism of carbohydrates,Metabolism
R-HSA-444473,R-HSA-372790,R-HSA-162582,Formyl peptide receptors bind formyl peptides and many other ligands,Signaling by GPCR,Signal Transduction
R-HSA-444209,R-HSA-372790,R-HSA-162582,Free fatty acid receptors,Signaling by GPCR,Signal Transduction
R-HSA-400451,R-HSA-163685,R-HSA-1430728,Free fatty acids regulate insulin secretion,Integration of energy metabolism,Metabolism
R-HSA-170968,R-HSA-9006934,R-HSA-162582,Frs2-mediated activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5652227,R-HSA-71387,R-HSA-1430728,Fructose biosynthesis,Metabolism of carbohydrates,Metabolism
R-HSA-70350,R-HSA-71387,R-HSA-1430728,Fructose catabolism,Metabolism of carbohydrates,Metabolism
R-HSA-5652084,R-HSA-71387,R-HSA-1430728,Fructose metabolism,Metabolism of carbohydrates,Metabolism
R-HSA-168270,R-HSA-5663205,R-HSA-1643685,Fusion and Uncoating of the Influenza Virion,Infectious disease,Disease
R-HSA-168288,R-HSA-5663205,R-HSA-1643685,Fusion of the Influenza Virion to the Host Cell Endosome,Infectious disease,Disease
R-HSA-416482,R-HSA-372790,R-HSA-162582,G alpha (12/13) signalling events,Signaling by GPCR,Signal Transduction
R-HSA-418594,R-HSA-372790,R-HSA-162582,G alpha (i) signalling events,Signaling by GPCR,Signal Transduction
R-HSA-416476,R-HSA-372790,R-HSA-162582,G alpha (q) signalling events,Signaling by GPCR,Signal Transduction
R-HSA-418555,R-HSA-372790,R-HSA-162582,G alpha (s) signalling events,Signaling by GPCR,Signal Transduction
R-HSA-418597,R-HSA-372790,R-HSA-162582,G alpha (z) signalling events,Signaling by GPCR,Signal Transduction
R-HSA-8964315,R-HSA-372790,R-HSA-162582,G beta:gamma signalling through BTK,Signaling by GPCR,Signal Transduction
R-HSA-8964616,R-HSA-372790,R-HSA-162582,G beta:gamma signalling through CDC42,Signaling by GPCR,Signal Transduction
R-HSA-392451,R-HSA-372790,R-HSA-162582,G beta:gamma signalling through PI3Kgamma,Signaling by GPCR,Signal Transduction
R-HSA-418217,R-HSA-372790,R-HSA-162582,G beta:gamma signalling through PLC beta,Signaling by GPCR,Signal Transduction
R-HSA-1296059,R-HSA-1296071,R-HSA-112316,G protein gated Potassium channels,Potassium Channels,Neuronal System
R-HSA-202040,R-HSA-372790,R-HSA-162582,G-protein activation,Signaling by GPCR,Signal Transduction
R-HSA-397795,R-HSA-372790,R-HSA-162582,G-protein beta:gamma signalling,Signaling by GPCR,Signal Transduction
R-HSA-112040,R-HSA-372790,R-HSA-162582,G-protein mediated events,Signaling by GPCR,Signal Transduction
R-HSA-1538133,R-HSA-69278,R-HSA-1640170,G0 and Early G1,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69236,R-HSA-69278,R-HSA-1640170,G1 Phase,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69615,R-HSA-69620,R-HSA-1640170,G1/S DNA Damage Checkpoints,Cell Cycle Checkpoints,Cell Cycle
R-HSA-69206,R-HSA-69278,R-HSA-1640170,G1/S Transition,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69205,R-HSA-69278,R-HSA-1640170,G1/S-Specific Transcription,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-68911,R-HSA-69278,R-HSA-1640170,G2 Phase,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69481,R-HSA-69620,R-HSA-1640170,G2/M Checkpoints,Cell Cycle Checkpoints,Cell Cycle
R-HSA-69473,R-HSA-69620,R-HSA-1640170,G2/M DNA damage checkpoint,Cell Cycle Checkpoints,Cell Cycle
